gen	evals	min                                          	max                                          	avg	std                                          
0  	100  	[0.0033766  0.03508772 0.00371974 0.        ]	[0.01380417 0.96428571 1.         1.20065641]	   	[0.00246007 0.38139357 0.38425292 0.39760871]
1  	100  	[0.0033766  0.03508772 0.00011971 0.        ]	[0.0124557  0.96428571 1.         1.        ]	   	[0.00187528 0.39747097 0.11263615 0.22102264]
2  	100  	[0.00337338 0.03508772 0.01061794 0.00425331]	[0.00776015 0.89655172 0.18079958 0.62278657]	   	[0.00079425 0.28125829 0.05976571 0.25625525]
3  	100  	[0.00337338 0.03508772 0.01061794 0.00425331]	[0.00564813 0.89655172 0.17081215 0.5617749 ]	   	[0.00063011 0.3223285  0.05330172 0.18440664]
4  	100  	[0.0033764  0.         0.01084234 0.00425331]	[0.00624147 0.89655172 0.17081215 0.5617749 ]	   	[0.00095755 0.40048302 0.06208812 0.18821019]
5  	100  	[0.0033764  0.         0.01084234 0.00425331]	[0.00624147 0.89655172 0.17081215 0.5617749 ]	   	[0.000629   0.22666945 0.04757355 0.18880747]
6  	100  	[0.0033764  0.         0.01084234 0.00425331]	[0.00624147 0.89655172 0.17081215 0.5617749 ]	   	[0.00059072 0.36505651 0.06106444 0.1881224 ]
7  	100  	[0.0033764  0.         0.01084234 0.00756144]	[0.00624147 0.89655172 0.17081215 0.5617749 ]	   	[0.00048239 0.30943679 0.05268422 0.16320415]
8  	100  	[0.0033764  0.         0.01084234 0.00756144]	[0.00624147 0.89655172 0.17081215 0.43887421]	   	[0.00058527 0.39927476 0.06128832 0.16641981]
9  	100  	[0.0033766  0.         0.01127704 0.00756144]	[0.00624147 0.89655172 0.17081215 0.43887421]	   	[0.00047866 0.26410226 0.04447974 0.14077903]
